Date,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-06-27,Good Game Limited,"64-65 High Street, Banbury, England, OX16 5JJ, GB",OX16 5JJ,10,24,1h 1m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=64-65%20High%20Street%2C%20Banbury%2C%20England%2C%20OX16%205JJ%2C%20GB,https://tcg.ravensburgerplay.com/events/690649,https://tcg.ravensburgerplay.com/events/439322,£20.00,2026-06-14T15:04:25.186417
2026-06-27,Void Games,"Mirion Street, Unit 8, Brierley Business Centre , Crewe, England, CW1 2AZ, GB",CW1 2AZ,0,13,1h 7m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=Mirion%20Street%2C%20Unit%208%2C%20Brierley%20Business%20Centre%20%2C%20Crewe%2C%20England%2C%20CW1%202AZ%2C%20GB,https://tcg.ravensburgerplay.com/events/639231,https://tcg.ravensburgerplay.com/events/469236,£15.00,2026-06-15T00:22:10.995619
2026-06-27,Pendulum Gaming,"2 Westgate, Grantham, England, NG31 6LT, GB",NG31 6LT,9,8,1h 32m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=2%20Westgate%2C%20Grantham%2C%20England%2C%20NG31%206LT%2C%20GB,https://tcg.ravensburgerplay.com/events/589902,https://tcg.ravensburgerplay.com/events/430198,£15.00,2026-06-15T00:22:08.768608
2026-06-27,Onyx Dawn Games,"26 Saint Cuthbert's Street, St Cuthberts Arcade, Bedford, England, MK40 3JG, GB",MK40 3JG,8,15,1h 37m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=26%20Saint%20Cuthbert%27s%20Street%2C%20St%20Cuthberts%20Arcade%2C%20Bedford%2C%20England%2C%20MK40%203JG%2C%20GB,https://tcg.ravensburgerplay.com/events/662755,https://tcg.ravensburgerplay.com/events/457331,£15.00,2026-06-15T00:22:09.855403
2026-06-27,Mystic Games Ltd,"Woolgate Shopping Centre, unit 11 , Witney, England, OX286AP, GB",OX286AP,6,13,1h 38m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=Woolgate%20Shopping%20Centre%2C%20unit%2011%20%2C%20Witney%2C%20England%2C%20OX286AP%2C%20GB,https://tcg.ravensburgerplay.com/events/583482,https://tcg.ravensburgerplay.com/events/359381,£16.00,2026-06-15T00:22:06.920668
2026-06-27,JustPlay,"61 Tithebarn Street, Liverpool, England, L2 2SB, GB",L2 2SB,6,16,1h 54m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=61%20Tithebarn%20Street%2C%20Liverpool%2C%20England%2C%20L2%202SB%2C%20GB,https://tcg.ravensburgerplay.com/events/607425,https://tcg.ravensburgerplay.com/events/402470,£18.99,2026-06-15T00:22:12.150432
2026-06-27,Living Realms Castleford,"Union Street, 4-5, Wakefield, England, WF1 3AD, GB",WF1 3AD,16,18,2h 3m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=Union%20Street%2C%204-5%2C%20Wakefield%2C%20England%2C%20WF1%203AD%2C%20GB,https://tcg.ravensburgerplay.com/events/583223,https://tcg.ravensburgerplay.com/events/443960,£15.00,2026-06-15T00:22:08.160412
2026-06-27,Eclectic Games,"21 Duke Street, Reading, RG1 4SA, GB",RG1 4SA,2,19,2h 8m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=21%20Duke%20Street%2C%20Reading%2C%20RG1%204SA%2C%20GB,https://tcg.ravensburgerplay.com/events/612103,https://tcg.ravensburgerplay.com/events/432783,£20.00,2026-06-15T00:22:04.416424
2026-06-27,Collecteebles,"28a, Chantry Centre, Andover, England, SP10 1LS, GB",SP10 1LS,10,16,2h 20m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=28a%2C%20Chantry%20Centre%2C%20Andover%2C%20England%2C%20SP10%201LS%2C%20GB,https://tcg.ravensburgerplay.com/events/638278,https://tcg.ravensburgerplay.com/events/348804,£10.00,2026-06-15T00:22:02.983947
2026-06-27,Triple Helix Wargames,"Cory Way, Unit 10, Westbury, England, BA13 4QT, GB",BA13 4QT,10,9,2h 23m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=Cory%20Way%2C%20Unit%2010%2C%20Westbury%2C%20England%2C%20BA13%204QT%2C%20GB,https://tcg.ravensburgerplay.com/events/494363,https://tcg.ravensburgerplay.com/events/397182,£15.00,2026-06-15T00:22:01.817949
