Date,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-07-04,Misfit Hobbies Coleraine,"22, Railway Rd, Coleraine, Northern Ireland, BT52 1PE, GB",BT52 1PE,2,14,10h 54m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=22%2C%20Railway%20Rd%2C%20Coleraine%2C%20Northern%20Ireland%2C%20BT52%201PE%2C%20GB,https://tcg.ravensburgerplay.com/events/631040,https://tcg.ravensburgerplay.com/events/469086,£15.00,2026-06-15T00:22:36.473228

2026-07-05,Wargames Workshop MK,"18 Winchester Circle, Milton Keynes, Milton Keynes, England, MK10 0BA, GB",MK10 0BA,4,20,21m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=18%20Winchester%20Circle%2C%20Milton%20Keynes%2C%20Milton%20Keynes%2C%20England%2C%20MK10%200BA%2C%20GB,https://tcg.ravensburgerplay.com/events/594480,https://tcg.ravensburgerplay.com/events/430714,£15.00,2026-06-15T00:22:45.201482
2026-07-05,Geek Retreat Stevenage,"Park Place Plaza, Stevenage, England, SG1 1BF, GB",SG1 1BF,0,10,31m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Park%20Place%20Plaza%2C%20Stevenage%2C%20England%2C%20SG1%201BF%2C%20GB,https://tcg.ravensburgerplay.com/events/547872,https://tcg.ravensburgerplay.com/events/279734,£15.00,2026-06-15T00:22:49.948175
2026-07-05,Geek Retreat Northampton,"Weedon Road Industrial Estate, Tyne Rd, Northampton, England, NN5 5AF, GB",NN5 5AF,8,N/A,41m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Weedon%20Road%20Industrial%20Estate%2C%20Tyne%20Rd%2C%20Northampton%2C%20England%2C%20NN5%205AF%2C%20GB,https://tcg.ravensburgerplay.com/events/607430,,£15.00,2026-06-15T00:22:50.997853
2026-07-05,Food and Board,"32-42 Tudor Drive, Food and Board, Yateley, England, GU466BY, GB",GU466BY,23,15,1h 20m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=32-42%20Tudor%20Drive%2C%20Food%20and%20Board%2C%20Yateley%2C%20England%2C%20GU466BY%2C%20GB,https://tcg.ravensburgerplay.com/events/589500,https://tcg.ravensburgerplay.com/events/451541,£15.00,2026-06-15T00:22:48.334714
2026-07-05,Game Guru (Touchwood),"Unit SU52, Touchwood Shopping Centre, 25 Jubilee Walk, Solihull, B91 3HT, GB",B91 3HT,16,N/A,1h 30m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Unit%20SU52%2C%20Touchwood%20Shopping%20Centre%2C%2025%20Jubilee%20Walk%2C%20Solihull%2C%20B91%203HT%2C%20GB,https://tcg.ravensburgerplay.com/events/675379,,£20.00,2026-06-15T00:22:53.819133
2026-07-05,Kushti Comics,"RG21 7LN, Basingstoke RG22 7LN, UK BASINGSTOKE, HAMPSHIRE RG217LS UNITED KINGDOM",RG21 7LN,16,18,1h 31m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=RG21%207LN%2C%20Basingstoke%20RG22%207LN%2C%20UK%0ABASINGSTOKE%2C%20HAMPSHIRE%0ARG217LS%0AUNITED%20KINGDOM,https://tcg.ravensburgerplay.com/events/608547,https://tcg.ravensburgerplay.com/events/441238,£15.00,2026-06-15T00:22:43.567650
2026-07-05,Firestorm Games Swindon,"121 Victoria Road, SWindon, England, Sn13bh, GB",SN13BH,3,8,1h 52m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=121%20Victoria%20Road%2C%20SWindon%2C%20England%2C%20Sn13bh%2C%20GB,https://tcg.ravensburgerplay.com/events/694970,https://tcg.ravensburgerplay.com/events/281936,£0.00,2026-06-16T15:02:03.634246
2026-07-05,Diss Games,"Unit V5, Diss, No, IP22 4HQ, UK",IP22 4HQ,22,8,1h 53m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Unit%20V5%2C%20Diss%2C%20No%2C%20IP22%204HQ%2C%20UK,https://tcg.ravensburgerplay.com/events/675217,https://tcg.ravensburgerplay.com/events/517665,£15.00,2026-06-15T00:22:45.978808
